semantic_rule_id,rule_type,rule_coverage_status,rule_pass_status,required_case_types,present_case_types,accepted_case_types,missing_case_types,review_count,paragraph_ids
SR-MR-001-01,reference_only,not_applicable,not_applicable,,,,,0,
SR-MR-001-B1-1,data_constraint,fully_covered,pass,positive|negative|data_validation,data_validation|negative|positive,data_validation|negative|positive,,3,
SR-MR-001-B2-1,calculation,partially_covered,fail,positive|boundary|data_validation,boundary|data_validation|positive,boundary|positive,data_validation,3,
SR-MR-002-01,data_constraint,fully_covered,pass,positive|negative|data_validation,data_validation|negative|positive,data_validation|negative|positive,,3,
SR-MR-002-B1-1,data_constraint,fully_covered,pass,positive|negative|data_validation,data_validation|negative|positive,data_validation|negative|positive,,3,
SR-MR-002-B1-2,reference_only,not_applicable,not_applicable,,,,,0,
SR-MR-002-B10-1,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-002-B11-1,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-002-B12-1,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-002-B13-1,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-002-B14-1,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-002-B15-1,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-002-B16-1,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-002-B17-1,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-002-B18-1,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-002-B19-1,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-002-B2-1,calculation,partially_covered,fail,positive|boundary|data_validation,boundary|data_validation|positive,boundary|positive,data_validation,3,
SR-MR-002-B2-2,obligation,fully_covered,pass,positive|negative,negative|positive,negative|positive,,2,
SR-MR-002-B20-1,calculation,partially_covered,fail,positive|boundary|data_validation,boundary|data_validation|positive,boundary|positive,data_validation,3,
